lojbo	中-jbo皮钦语	简体中文	
le gusycinki	[者]-光'虫	萤火虫	
se finti la'o zoi 黄雀飞 zoi	se-创-la'o zoi 黄雀飞 zoi	文：黄雀飞	
.i le gusycinki cu lafti lo tergu'i	。[者]光'虫[是]提[有]tergu'i	萤火虫，提着灯，	一荧希火个虫子 提一个着希灯
.i ca le nu nicte kei ku le go'i cu toljursa vofli	。[同时][者][着]夜kei，[者]go'i[是]反'剧飞	在月色里轻轻地飞舞着，	在夜色里 轻轻地 耶飞耶舞抓
.i le gusycinki cu djica le nu vo'a selpa'i	。[者]光'虫[是]要者着vo'a被'爱	期盼着爱人，	诶期诶盼呢抓 爱度人
gi'e sisku le prami	[且]寻[者]爱	追寻一份爱情。	追着寻 一份 爱度爱情
.i le gusycinki cu lafti lo tergu'i	。[者]光'虫[是]提[有]tergu'i	萤火虫，提着灯，	
.i ca le nu nicte kei ku le go'i cu kalgaisligau	。[同时][者][着]夜kei，[者]go'i[是]眼'盖'摇'做	在月色里轻轻地眨着眼睛，	
.i ca le nu manynicte kei ku le le gusycinki cu denpa	。[同时][者][着]夜kei，[者]光'虫[是]等	在黑夜里等待，	
gi'e sisku le mengu'i	[且]寻[者]思'光	追寻一份光明。	
